"subject" "activity" "featDomain" "featAcceleration" "featInstrument" "featJerk" "featMagnitude" "featVariable" "featAxis" "count" "average"
"1" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 64 -0.97251989
"2" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 114 -0.429581140520175
"3" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 49 -0.541187765537347
"4" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 167 -0.487067512432515
"5" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 96 -0.750364812339583
"6" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 28 -0.820770986428571
"7" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 172 -0.580220516180233
"8" 1 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 127 -0.244264304597638
"9" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 33 -0.915045955757576
"10" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 86 -0.952773394534884
"11" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 156 -0.843561363955128
"12" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 58 -0.91027444862069
"13" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 96 -0.946382545833333
"14" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 4 -0.9915511375
"15" 1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 29 -0.891834658965517
"16" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 49 -0.927288451632653
"17" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 114 -0.860145805810526
"18" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 58 -0.942926394655172
"19" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 9 -0.991175433333333
"20" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 118 -0.719369501042373
"21" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 97 -0.239281015216495
"22" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 100 -0.86541248088
"23" 1 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 89 -0.932190925168539
"24" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 87 -0.935182220344828
"25" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 46 -0.0633798040086957
"26" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 13 -0.71340912
"27" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 47 -0.833970348893617
"28" 1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 87 -0.52153647562069
"29" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 7 -0.912969251428571
"30" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 91 -0.813724836494505
"31" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 33 -0.905535102424242
"32" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 26 -0.976400048846154
"33" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 63 -0.565674595698413
"34" 1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 37 -0.0163573526756757
"35" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 50 -0.9548551108
"36" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 78 -0.334023108871154
"37" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 22 -0.974265229545454
"38" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 42 -0.926611301428572
"39" 1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 108 -0.839301788601852
"40" 1 "LAYING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 48 -0.923377585
"41" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 62 -0.859284243258065
"42" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 40 -0.905876548775
"43" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 42 0.661501350547619
"44" 1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 17 -0.0851514735294118
"45" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 73 -0.921123619452055
"46" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 18 -0.879934476111111
"47" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 56 -0.778623129089286
"48" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 73 -0.3466622775
"49" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 83 -0.797951816987952
"50" 1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 38 -0.047765337196579
"51" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 40 -0.968017174
"52" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 161 -0.559446226334783
"53" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 114 -0.799282217763158
"54" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 4 -0.071064695
"55" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 93 -0.390673624354839
"56" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 138 -0.665318440782609
"57" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 89 -0.476133229630337
"58" 1 "SITTING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 43 -0.927079918372093
"59" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 144 -0.963550794791667
"60" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 99 -0.966857892929293
"61" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 2 -0.98243491
"62" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 53 -0.980075329433962
"63" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 41 -0.991373951951219
"64" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 35 -0.979144213428571
"65" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 16 -0.95728443
"66" 1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 59 -0.938433534237288
"67" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 109 -0.963179044770642
"68" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 16 -0.996628019375
"69" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 79 -0.638176567341772
"70" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 77 -0.576435340441558
"71" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 154 -0.746192792233766
"72" 1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 44 -0.92306092
